mid,formula,site_index,cation,anion,cn,q,r0,b,n_shells_in_material,shell_weight,R_1,R_2,R_3,R_4,R_5,R_6
mp-1100479,Li9Mn7O16,4,Li,O,6,1,2.04626746414,0.0504654043946,9,0.111111111111,1.96840184914,1.96840184914,2.10892306775,2.13563355209,2.14766271385,2.14766271385
mp-1100479,Li9Mn7O16,5,Li,O,6,1,2.04626746414,0.0504654043946,9,0.111111111111,2.08609712849,2.08609712849,2.09846474864,2.11441297838,2.11441297838,2.19623198344
mp-1100479,Li9Mn7O16,6,Li,O,6,1,2.04626746414,0.0504654043946,9,0.111111111111,2.1106768772,2.1106768772,2.11288888223,2.11288888223,2.25683900318,2.27477623602
mp-1100479,Li9Mn7O16,7,Li,O,6,1,2.04626746414,0.0504654043946,9,0.111111111111,2.1106768772,2.1106768772,2.11288888223,2.11288888223,2.25683900318,2.27477623602
mp-1100479,Li9Mn7O16,8,Li,O,6,1,2.04626746414,0.0504654043946,9,0.111111111111,2.03658561344,2.03658561344,2.03658561344,2.03658561344,2.1728703528,2.1728703528
mp-1100481,Li9Mn7O16,0,Li,O,6,1,2.30953974787,-0.0786413030197,9,0.111111111111,2.06191836533,2.06191836533,2.14710256438,2.14710256438,2.17800042559,2.17800042559
mp-1100481,Li9Mn7O16,1,Li,O,6,1,2.30953974787,-0.0786413030197,9,0.111111111111,2.13033645507,2.13033645507,2.1551211104,2.1551211104,2.18311843713,2.18311843713
mp-1100481,Li9Mn7O16,2,Li,O,6,1,2.30953974787,-0.0786413030197,9,0.111111111111,2.13625546687,2.13625546687,2.13625546687,2.13625546687,2.16297541377,2.16297541377
mp-1100481,Li9Mn7O16,3,Li,O,6,1,2.30953974787,-0.0786413030197,9,0.111111111111,2.13033645507,2.13033645507,2.1551211104,2.1551211104,2.18311843713,2.18311843713
mp-1100481,Li9Mn7O16,4,Li,O,6,1,2.30953974787,-0.0786413030197,9,0.111111111111,2.06191836533,2.06191836533,2.14710256438,2.14710256438,2.17800042559,2.17800042559
mp-1100481,Li9Mn7O16,5,Li,O,6,1,2.30953974787,-0.0786413030197,9,0.111111111111,2.10958730972,2.10958730972,2.13376351169,2.13376351169,2.47156068425,2.47156068425
mp-1100481,Li9Mn7O16,6,Li,O,6,1,2.30953974787,-0.0786413030197,9,0.111111111111,2.14770016252,2.14770016252,2.14991046767,2.14991046767,2.14991046767,2.14991046767
mp-1100481,Li9Mn7O16,7,Li,O,6,1,2.30953974787,-0.0786413030197,9,0.111111111111,2.10958730972,2.10958730972,2.13376351169,2.13376351169,2.47156068425,2.47156068425
mp-1100481,Li9Mn7O16,8,Li,O,6,1,2.30953974787,-0.0786413030197,9,0.111111111111,2.04513008098,2.04513008098,2.04513008098,2.04513008098,2.29867768644,2.29867768644
mp-1100482,Li9Mn7O16,0,Li,O,6,1,1.98625838042,0.1060551845,9,0.111111111111,2.00595066062,2.00595066062,2.10432758335,2.21829114311,2.21829114311,2.24192425073
mp-1100482,Li9Mn7O16,1,Li,O,6,1,1.98625838042,0.1060551845,9,0.111111111111,2.14183657207,2.14183657207,2.17710164488,2.17710164488,2.17710164488,2.17710164488
mp-1100482,Li9Mn7O16,2,Li,O,6,1,1.98625838042,0.1060551845,9,0.111111111111,2.00595066062,2.00595066062,2.10432758335,2.21829114311,2.21829114311,2.24192425073
mp-1100482,Li9Mn7O16,3,Li,O,6,1,1.98625838042,0.1060551845,9,0.111111111111,2.11835665574,2.11835665574,2.13040200275,2.13040200275,2.28634135771,2.58284249355
mp-1100482,Li9Mn7O16,4,Li,O,6,1,1.98625838042,0.1060551845,9,0.111111111111,2.12715804974,2.17436459234,2.17436459234,2.18114201664,2.18984994516,2.18984994516
mp-1100482,Li9Mn7O16,5,Li,O,6,1,1.98625838042,0.1060551845,9,0.111111111111,2.12715804974,2.17436459234,2.17436459234,2.18114201664,2.18984994516,2.18984994516
